"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Riggs Community Health Center, Inc.","H8DCS35668","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lafayette","IN","47904-2173","Tippecanoe","IN-04","2020","$853,430"
"Rinehart Medical Clinic","H8DCS35704","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wheeler","OR","97147-0035","Tillamook","OR-05","2020","$522,680"
"Ritchie County Primary Care Assoc., Inc.","H8DCS35847","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Harrisville","WV","26362-1371","Ritchie","WV-01","2020","$674,105"
"Ritter Center","H8DCS35723","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Rafael","CA","94901-3323","Marin","CA-02","2020","$528,650"
"River Hills Community Health Center, Inc.","H8DCS36196","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ottumwa","IA","52501-2924","Wapello","IA-02","2020","$976,040"
"River Valley Primary Care Services","H8DCS35419","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ratcliff","AR","72951-9000","Logan","AR-04","2020","$829,670"
"Riverside County Health System","H8DCS35714","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Riverside","CA","92503-3410","Riverside","CA-41","2020","$1,559,495"
"Rkm Primary Care","H8DCS35797","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Clinton","LA","70722-3210","East Feliciana","LA-05","2020","$899,720"
"Roane Family Health Care","H8DCS35836","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Spencer","WV","25276-1826","Roane","WV-02","2020","$598,460"
"Roanoke Chowan Community Health Center, Inc.","H8DCS36488","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ahoskie","NC","27910-8161","Hertford","NC-01","2020","$800,390"
"Robeson Health Care Corporation","H8DCS36398","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pembroke","NC","28372-7386","Robeson","NC-09","2020","$794,930"
"Rockbridge Area Free Clinic","H8DCS36743","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lexington","VA","24450-3399","Rockbridge","VA-06","2020","$638,180"
"Rocking Horse Children'S Health Center","H8DCS36692","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","OH","45505-1965","Clark","OH-08","2020","$725,645"
"Rogue Community Health","H8DCS35793","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Medford","OR","97504-7337","Jackson","OR-02","2020","$747,845"
"Rosa Clark Medical Clinic Inc","H8DCS36256","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seneca","SC","29678-3416","Oconee","SC-03","2020","$619,670"
"Rural Alliance For Better Family Health, The","H8DCS35928","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","West Plains","MO","65775-4221","Howell","MO-08","2020","$635,540"
"Rural Health Care, Inc.","H8DCS35893","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Pierre","SD","57532-7303","Stanley","SD-00","2020","$787,430"
"Rural Health Care, Incorporated","H8DCS36127","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Palatka","FL","32177-5042","Putnam","FL-03","2020","$1,538,765"
"Rural Health Corporation Of Northeastern Pennsylvania","H8DCS36650","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wilkes Barre","PA","18702-7012","Luzerne","PA-08","2020","$845,870"
"Rural Health Group, Inc.","H8DCS36402","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Roanoke Rapids","NC","27870-2602","Halifax","NC-01","2020","$1,351,025"
"Rural Health Inc","H8DCS36129","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anna","IL","62906-1668","Union","IL-12","2020","$761,120"
"Rural Health Medical Program, Inc.","H8DCS35409","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Selma","AL","36701-6764","Dallas","AL-07","2020","$719,960"
"Rural Health Network Of Monroe County Florida, Inc","H8DCS36009","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Key West","FL","33040-4566","Monroe","FL-26","2020","$569,600"
"Rural Health Services Consortium, Inc.","H8DCS36041","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rogersville","TN","37857-6028","Hawkins","TN-01","2020","$1,283,765"
"Rural Health Services, Inc.","H8DCS36270","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Aiken","SC","29801-4193","Aiken","SC-02","2020","$877,565"
"Rural Medical Services, Inc.","H8DCS36254","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newport","TN","37821-3631","Cocke","TN-01","2020","$707,855"
"Rutgers, The State University Of New Jersey","H8DCS36397","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Piscataway","NJ","08854-8021","Middlesex","NJ-06","2020","$934,235"
"Rutgers, The State University Of New Jersey","H8DCS36404","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newark","NJ","07107-3001","Essex","NJ-10","2020","$525,095"
"Rutherford County Primary Care Clinic, Inc.","H8DCS36190","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Murfreesboro","TN","37129-3140","Rutherford","TN-04","2020","$758,090"
"Sac Health System","H8DCS35726","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Bernardino","CA","92408-0118","San Bernardino","CA-31","2020","$1,024,055"
"Sacopee Valley Health Center","H8DCS36297","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Porter","ME","04068-3527","Oxford","ME-02","2020","$631,175"
"Sacramento, County Of","H8DCS35553","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sacramento","CA","95820-1527","Sacramento","CA-06","2020","$723,200"
"Sadler Health Center Corporation","H8DCS36653","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Carlisle","PA","17013-2421","Cumberland","PA-10","2020","$680,150"
"Saint Croix Regional Family Health Center","H8DCS36315","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Princeton","ME","04668-3344","Washington","ME-02","2020","$562,220"
"Saint Hope Foundation","H8DCS36434","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77036-3338","Harris","TX-07","2020","$886,700"
"Saint James Health, Inc.","H8DCS36510","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newark","NJ","07105-1815","Essex","NJ-08","2020","$546,695"
"Saint Josephs Mercy Care Svcs","H8DCS36133","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Atlanta","GA","30312-1848","Fulton","GA-05","2020","$1,053,440"
"Salina Health Education Foundation","H8DCS36172","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Salina","KS","67401-7408","Saline","KS-01","2020","$716,165"
"Salud Integral En La Montana Inc","H8DCS36543","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Naranjito","PR","00719","Naranjito","PR-98","2020","$1,425,245"
"Salud Para La Gente","H8DCS35546","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Watsonville","CA","95076-2059","Santa Cruz","CA-20","2020","$1,026,020"
"Samuel Dixon Family Health Cen","H8DCS35765","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Valencia","CA","91355-4794","Los Angeles","CA-25","2020","$626,825"
"Samuel U Rodgers Health Center, Inc.","H8DCS35950","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kansas City","MO","64124-2323","Jackson","MO-05","2020","$1,100,720"
"San Benito Health Foundation","H8DCS35647","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hollister","CA","95023-3361","San Benito","CA-20","2020","$699,095"
"San Bernardino, County Of","H8DCS35641","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Bernardino","CA","92415-0003","San Bernardino","CA-31","2020","$755,915"
"San Diego American Indian Health Center Inc","H8DCS35737","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Diego","CA","92103-6558","San Diego","CA-53","2020","$601,940"
"San Diego Family Care","H8DCS35645","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Diego","CA","92111-6342","San Diego","CA-53","2020","$1,025,135"
"San Fernando Community Hospital","H8DCS35789","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Fernando","CA","91340-4237","Los Angeles","CA-29","2020","$619,580"
"San Francisco Community Clinic Consortium","H8DCS35520","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Francisco","CA","94133-1231","San Francisco","CA-12","2020","$892,400"
"San Francisco Medical Center Outpatient Improvement Programs, Incorporated","H8DCS35567","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Francisco","CA","94103-4003","San Francisco","CA-12","2020","$600,920"
"San Jose Foothill Family Community Clinic, Inc","H8DCS35628","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Jose","CA","95127-3942","Santa Clara","CA-19","2020","$1,675,370"
"San Mateo, County Of","H8DCS35511","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Mateo","CA","94403-4361","San Mateo","CA-14","2020","$639,995"
"Sandhills Medical Foundation","H8DCS36269","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jefferson","SC","29718-8701","Chesterfield","SC-07","2020","$732,575"
"Santa Barbara Neighborhood Clinics","H8DCS35818","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Barbara","CA","93101-1624","Santa Barbara","CA-24","2020","$1,005,170"
"Santa Barbara, County Of","H8DCS35548","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Barbara","CA","93110-1316","Santa Barbara","CA-24","2020","$1,053,665"
"Santa Clara, County Of","H8DCS35629","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Jose","CA","95110-1705","Santa Clara","CA-19","2020","$626,225"
"Santa Cruz Community Health Centers","H8DCS35724","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Cruz","CA","95060-2786","Santa Cruz","CA-20","2020","$715,940"
"Santa Cruz, County Of","H8DCS35507","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Cruz","CA","95060-1966","Santa Cruz","CA-20","2020","$847,760"
"Santa Rosa Community Health Centers","H8DCS35519","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Rosa","CA","95403-5781","Sonoma","CA-05","2020","$1,310,390"
"Sapphire Community Health, Inc.","H8DCS35868","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hamilton","MT","59840-2480","Ravalli","MT-00","2020","$536,690"
"Sawtooth Mountain Clinic Inc","H8DCS36170","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grand Marais","MN","55604-3017","Cook","MN-08","2020","$587,360"
"Sayre Health Center","H8DCS36632","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Philadelphia","PA","19139-3836","Philadelphia","PA-03","2020","$551,630"
"Scenic Bluffs Health Center, Inc","H8DCS35534","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cashton","WI","54619-2002","Monroe","WI-03","2020","$654,935"
"Schenectady Family Health Services, Inc","H8DCS36589","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Schenectady","NY","12307-1508","Schenectady","NY-20","2020","$857,210"
"School Health Clinics Of Santa Clara County","H8DCS35632","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Jose","CA","95119-1372","Santa Clara","CA-19","2020","$660,830"
"Scranton Primary Health Care Center, Inc.","H8DCS36622","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Scranton","PA","18509-3023","Lackawanna","PA-08","2020","$721,805"
"Sea-Mar Community Health Center","H8DCS36712","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seattle","WA","98108-4720","King","WA-09","2020","$4,867,070"
"Seattle Indian Health Board","H8DCS36747","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seattle","WA","98144-2007","King","WA-09","2020","$609,620"
"Sebasticook Family Doctors","H8DCS36307","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newport","ME","04953-4056","Penobscot","ME-02","2020","$615,395"
"Seldovia Village Tribe","H8DCS35383","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seldovia","AK","99663","Kenai Peninsula","AK-00","2020","$574,565"
"Serve The People, Inc.","H8DCS35774","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Ana","CA","92701-2641","Orange","CA-46","2020","$824,930"
"Servicios De Salud Primarios De Barceloneta, Inc.","H8DCS36523","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Barceloneta","PR","00617-3217","Barceloneta","PR-98","2020","$745,625"
"Settlement Health And Medical Services, Inc.","H8DCS36603","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10029-4007","New York","NY-13","2020","$782,780"
"Seward, City Of","H8DCS35389","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seward","AK","99664","Kenai Peninsula","AK-00","2020","$540,350"
"Shackelford County Community Resource Center","H8DCS36509","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Albany","TX","76430-3225","Shackelford","TX-19","2020","$753,320"
"Shalom Health Care Center, Inc.","H8DCS35678","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Indianapolis","IN","46222-1147","Marion","IN-07","2020","$907,340"
"Share Our Selves Corporation","H8DCS35799","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Costa Mesa","CA","92627-3653","Orange","CA-48","2020","$832,100"
"Shasta Community Health Center","H8DCS35638","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Redding","CA","96001-1170","Shasta","CA-01","2020","$1,106,375"
"Shawnee Christian Healthcare Center, Inc.","H8DCS36337","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Louisville","KY","40212-2522","Jefferson","KY-03","2020","$576,860"
"Shawnee Health Service And Development Corporation","H8DCS36296","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Carterville","IL","62918-1923","Williamson","IL-12","2020","$1,063,805"
"Shenandoah Valley Medical System, Incorporated","H8DCS35841","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Martinsburg","WV","25401-2890","Berkeley","WV-02","2020","$1,090,130"
"Sheridan, County Of","H8DCS36173","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hoxie","KS","67740-4371","Sheridan","KS-01","2020","$560,810"
"Shingletown Medical Center","H8DCS35650","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Shingletown","CA","96088-9462","Shasta","CA-01","2020","$532,670"
"Shortgrass Community Health Center Inc.","H8DCS35597","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hollis","OK","73550-1436","Harmon","OK-03","2020","$587,345"
"Shoshone-Bannock Tribes Of The Fort Hall Reservation Of Idaho","H8DCS36167","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pocatello","ID","83202","Bingham","ID-02","2020","$540,200"
"Sierra Family Medical Clinic Inc","H8DCS35712","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Nevada City","CA","95959-9318","Nevada","CA-01","2020","$554,225"
"Signature Health, Inc.","H8DCS36678","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Willoughby","OH","44094-7875","Lake","OH-14","2020","$1,010,300"
"Silver State Health Services","H8DCS36383","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Las Vegas","NV","89146-5606","Clark","NV-01","2020","$523,655"
"Sioux Falls, City Of","H8DCS35903","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sioux Falls","SD","57104-6407","Minnehaha","SD-00","2020","$861,455"
"Siouxland Community Health Center","H8DCS36217","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sioux City","IA","51105-1436","Woodbury","IA-04","2020","$1,120,280"
"Siskiyou Community Health Center, Inc.","H8DCS35691","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grants Pass","OR","97526-1051","Josephine","OR-02","2020","$830,930"
"Sixteenth Street Community Health Centers, Inc.","H8DCS35541","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Milwaukee","WI","53204-2203","Milwaukee","WI-04","2020","$1,375,355"
"Skagway, Municipality Of","H8DCS35378","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Skagway","AK","99840","Skagway","AK-00","2020","$538,205"
"Solano, County Of","H8DCS35623","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fairfield","CA","94533-6804","Solano","CA-03","2020","$908,375"
"Sonoma Valley Community Health Center","H8DCS35644","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sonoma","CA","95476-5414","Sonoma","CA-05","2020","$695,510"
"South Bay Family Health Care Center Inc","H8DCS35633","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Torrance","CA","90505-4732","Los Angeles","CA-43","2020","$849,545"
"South Boston Community Health Center, Inc.","H8DCS35472","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02127-2245","Suffolk","MA-08","2020","$766,205"
"South Central Family Health Center","H8DCS35604","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90011-3629","Los Angeles","CA-40","2020","$1,108,805"
"South Central Medical & Resource Center","H8DCS35540","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lindsay","OK","73052-5634","Garvin","OK-04","2020","$584,855"
"South Central Missouri Community Health Center","H8DCS35952","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rolla","MO","65401-2448","Phelps","MO-08","2020","$653,210"
"South Central Primary Care Center, Inc.","H8DCS36029","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ocilla","GA","31774-1539","Irwin","GA-08","2020","$740,435"
"South County Community Health Center, Inc.","H8DCS35524","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","East Palo Alto","CA","94303-1312","San Mateo","CA-14","2020","$946,970"
"South Cove Community Health Center, Inc.","H8DCS35469","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02111-2826","Suffolk","MA-07","2020","$1,036,265"
"South End Community Health Center, Inc.","H8DCS35461","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02118-1951","Suffolk","MA-07","2020","$769,415"
"South Plains Rural Health Services Inc","H8DCS36458","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Levelland","TX","79336-6235","Hockley","TX-19","2020","$811,895"
"South Texas Rural Health Services, Inc","H8DCS36473","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cotulla","TX","78014","La Salle","TX-23","2020","$710,375"
"Southbridge Medical Advisory Council Inc","H8DCS35976","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wilmington","DE","19801-5821","New Castle","DE-00","2020","$648,815"
"Southcentral Foundation","H8DCS35371","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anchorage","AK","99508-5919","Anchorage","AK-00","2020","$566,030"
"Southeast Alabama Rural Health Associates","H8DCS35399","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Troy","AL","36079-6020","Pike","AL-02","2020","$1,168,790"
"Southeast Alaska Regional Health Consortium","H8DCS35387","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Juneau","AK","99801-7837","Juneau","AK-00","2020","$731,975"
"Southeast Community Health Systems","H8DCS35753","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Zachary","LA","70791-4038","East Baton Rouge","LA-06","2020","$730,760"
"Southeast Community Mental Health Center Inc","H8DCS36658","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Columbus","OH","43215-2815","Franklin","OH-03","2020","$609,665"
"Southeast Mississippi Rural Health Initiative, Inc.","H8DCS36239","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hattiesburg","MS","39401-7806","Forrest","MS-04","2020","$1,311,050"
"Southeast Missouri Health Network","H8DCS35934","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Benton","MO","63736-8238","Scott","MO-08","2020","$799,550"
"Southern California Medical Center, Inc.","H8DCS35785","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Van Nuys","CA","91411-1613","Los Angeles","CA-29","2020","$674,870"
"Southern Dominion Health Systems, Inc.","H8DCS36734","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Victoria","VA","23974-2624","Lunenburg","VA-05","2020","$752,315"
"Southern Illinois Health Care Foundation, Inc.","H8DCS36238","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sauget","IL","62206-2822","St. Clair","IL-12","2020","$2,311,505"
"Southern Illinois University","H8DCS36179","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","IL","62702-4933","Sangamon","IL-13","2020","$1,040,210"
"Southern Indiana Community Health Care Inc","H8DCS35687","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Paoli","IN","47454-8821","Orange","IN-09","2020","$639,650"
"Southern Jersey Family Medical Centers, Inc.","H8DCS36380","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hammonton","NJ","08037-1875","Atlantic","NJ-02","2020","$1,634,375"
"Southern Nevada Health District","H8DCS36374","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Las Vegas","NV","89107-2936","Clark","NV-01","2020","$503,000"
"Southern Tier Community Health Center Network","H8DCS36578","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Olean","NY","14760-2736","Cattaraugus","NY-23","2020","$647,120"
"Southern Trinity Health Services","H8DCS35658","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bridgeville","CA","95526-9508","Trinity","CA-02","2020","$579,245"
"Southlake Community Mental Health Center Inc","H8DCS35677","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Merrillville","IN","46410-6123","Lake","IN-01","2020","$630,740"
"Southland Integrated Services, Inc.","H8DCS35721","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Ana","CA","92703-3614","Orange","CA-46","2020","$565,115"
"Southside Community Health Services, Inc.","H8DCS36056","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Minneapolis","MN","55409-2113","Hennepin","MN-05","2020","$770,375"
"Southside Medical Center, Inc.","H8DCS36061","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Atlanta","GA","30315-1640","Fulton","GA-05","2020","$1,514,105"
"Southwest Colorado Mental Health Center, Inc.","H8DCS35889","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Durango","CO","81303-8276","La Plata","CO-03","2020","$587,270"
"Southwest Community Health Center, Inc.","H8DCS35955","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bridgeport","CT","06605-2602","Fairfield","CT-04","2020","$1,097,570"
"Southwest Louisiana Primary Health Care Center Inc","H8DCS35787","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Opelousas","LA","70570-5603","St. Landry","LA-05","2020","$681,410"
"Southwest Utah Community Health Center, Inc.","H8DCS35849","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint George","UT","84770-7369","Washington","UT-02","2020","$910,565"
"Southwest Virginia Community Health Systems, Incorporated","H8DCS36731","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saltville","VA","24370-3418","Smyth","VA-09","2020","$821,510"
"Special Health Resources For Texas, Incorporated","H8DCS36438","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Longview","TX","75601-6704","Gregg","TX-01","2020","$868,055"
